"Date","Price","Open","High","Low","Vol.","Change %"
"04-03-2026","868.65","848.00","879.30","848.00","39.86M","-1.22%"
"02-03-2026","879.40","876.20","887.75","871.55","38.38M","-0.94%"
"27-02-2026","887.75","898.60","898.95","885.00","34.62M","-1.21%"
"26-02-2026","898.60","912.00","912.00","895.00","41.17M","-0.99%"
"25-02-2026","907.60","910.55","916.00","903.10","27.88M","-0.32%"
"24-02-2026","910.50","927.95","927.95","909.15","31.31M","-1.42%"
"23-02-2026","923.60","916.50","925.65","915.25","23.27M","1.29%"
"20-02-2026","911.85","911.00","917.85","908.40","22.65M","-0.41%"
"19-02-2026","915.60","929.00","929.20","912.45","21.21M","-0.98%"
"18-02-2026","924.70","923.20","925.50","919.55","12.74M","-0.11%"
"17-02-2026","925.70","923.00","928.10","918.60","22.60M","-0.01%"
"16-02-2026","925.80","903.90","929.50","902.10","18.81M","2.42%"
"13-02-2026","903.90","913.00","928.20","901.00","50.19M","-1.81%"
"12-02-2026","920.60","927.00","928.60","918.50","33.87M","-0.70%"
"11-02-2026","927.10","931.25","936.00","925.30","24.87M","-0.57%"
"10-02-2026","932.40","930.00","940.90","929.95","31.53M","-0.52%"
"09-02-2026","937.25","945.00","950.00","935.35","23.95M","-0.41%"
"06-02-2026","941.10","945.00","948.10","937.60","18.12M","-0.91%"
"05-02-2026","949.70","956.00","956.05","946.70","28.10M","-0.36%"
"04-02-2026","953.10","952.50","957.20","947.95","24.37M","0.46%"
